,raw_host,crawl_arguement
casalemedia.com,8,https://www.yahoo.com
yahoo.com,5,https://www.yahoo.com
bluekai.com,4,https://www.yahoo.com
www.yahoo.com,3,https://www.yahoo.com
doubleclick.net,3,https://www.yahoo.com
adnxs.com,2,https://www.yahoo.com
scorecardresearch.com,2,https://www.yahoo.com
yahooapis.com,1,https://www.yahoo.com
addthis.com,1,https://www.yahoo.com
krxd.net,1,https://www.yahoo.com
yimg.com,1,https://www.yahoo.com
flickr.com,1,https://www.yahoo.com
dlx.addthis.com,1,https://www.yahoo.com
techcrunch.com,37,https://www.techcrunch.com
advertising.com,25,https://www.techcrunch.com
atwola.com,6,https://www.techcrunch.com
bidswitch.net,5,https://www.techcrunch.com
demdex.net,4,https://www.techcrunch.com
exelator.com,4,https://www.techcrunch.com
pictela.net,4,https://www.techcrunch.com
rlcdn.com,4,https://www.techcrunch.com
adsrvr.org,4,https://www.techcrunch.com
doubleclick.net,4,https://www.techcrunch.com
bluekai.com,3,https://www.techcrunch.com
agkn.com,3,https://www.techcrunch.com
cdn.at.atwola.com,3,https://www.techcrunch.com
yahoo.com,3,https://www.techcrunch.com
b.aol.com,3,https://www.techcrunch.com
tinypass.com,2,https://www.techcrunch.com
adaptv.advertising.com,2,https://www.techcrunch.com
everesttech.net,2,https://www.techcrunch.com
scorecardresearch.com,2,https://www.techcrunch.com
dpm.demdex.net,2,https://www.techcrunch.com
adsymptotic.com,1,https://www.techcrunch.com
npttech.com,1,https://www.techcrunch.com
addthis.com,1,https://www.techcrunch.com
config.parsely.com,1,https://www.techcrunch.com
nr-data.net,1,https://www.techcrunch.com
dlx.addthis.com,1,https://www.techcrunch.com
yahoo.com,1,https://www.yahoo.com
